location,latitude,longitude,bearing
cambridge_boat_house,52.399268305007666,0.2889072636444044,78.38568582325313
potter_space_bridge,52.40341578274437,0.29704668055612826,25.04764645286433
prickwillow_bridge,52.408800175700186,0.2999584618973608,18.861604429796238
start_marker,52.41002639040147,0.30060152657813877,15.780618438277182
500m_marker,52.41433184640905,0.3027280062221219,30.275932811500113
1km_marker,52.41863726426225,0.3048549011104908,17.282350046248467
1.5km_marker,52.4229426439477,0.3069822113852307,15.388687301629801
2km_marker,52.42724798545199,0.30910993718838786,14.511991075096507
littleport_bridge,52.453308797160254,0.31862499191981847,5.515135708479358
A10_bridge,52.465035882657794,0.3216891291034099,33.25978485728356
powerlines,52.47508714693901,0.33270415571883905,39.790750041838265
brandon_creek,52.501195908745856,0.36647638170818997,142.96591908576636
